"Name";"Nation";"Position";"Club";"Int Caps";"Int Goals";"Wage";"Value";"Date Of Birth";"Contract End";"Unique ID";"Club ID"
"Igor Jesus";"Brésil / E.A.U.";"ST";"Nott'm Forest";"4";"1";"69600";"30067200";"25.02.2001";"30.06.2029";"19377081";"692"
"Piquerez, Joaquín";"Uruguay / Italie";"D/WB L";"SEP";"15";"0";"14520";"10610970";"24.08.1998";"30.07.2030";"78077014";"329"
"Al Musrati, Ali";"Libye / Portugal";"DM";"Hellas Verona";"42";"2";"60240";"9428320";"06.04.1996";"30.06.2027";"83190945";"2201"
"Ayari, Yasin";"Suède / Tunisie / Maroc";"DM";"Brighton";"12";"2";"10440";"49435330";"06.10.2003";"30.06.2027";"93142470";"618"
"Dreyer, Anders";"Danemark";"AM R";"San Diego FC";"5";"1";"40200";"6092720";"02.05.1998";"30.06.2029";"27111934";"2000259716"
"Luiz Felipe";"Italie / Brésil";"D C";"Vallecano";"1";"0";"25030";"5826970";"22.03.1997";"30.06.2026";"19225765";"1729"
"Dragusin, Radu";"Roumanie";"D RC";"Spurs";"27";"1";"55680";"52312130";"03.02.2002";"30.06.2030";"57178516";"728"
"Lazzari, Manuel";"Italie";"D/WB/M R";"Celesti";"3";"0";"60730";"347999990";"29.11.1993";"30.06.2027";"43096538";"1140"
"Frese, Martin";"Danemark";"D LC";"Hellas Verona";"0";"0";"10020";"4547250";"04.01.1998";"30.06.2027";"27107357";"2201"
"Kristensen, Thomas";"Danemark";"D C";"Udinese";"0";"0";"6170";"16241680";"17.01.2002";"30.06.2028";"2000005988";"1178"
"Ghezzal, Rachid";"Algérie / France";"AM RC";"OL";"22";"2";"8070";"356160";"09.05.1992";"30.06.2026";"85031826";"865"
"Torrente, Raúl";"Espagne";"D C";"Dinamo";"0";"0";"11030";"1338640";"11.09.2001";"30.06.2028";"2000054276";"432"
"Barrow, Musa";"Gambie";"AM L, ST";"Al-Taawun";"47";"10";"193720";"30537000";"14.11.1998";"30.06.2026";"43372270";"7920352"
"Cresswell, Charlie";"Angleterre";"D C";"Toulouse FC";"0";"0";"13880";"42209410";"17.08.2002";"30.06.2028";"29217875";"886"
"Moura, Francisco";"Portugal";"D/WB/M L";"FC Porto";"0";"0";"28840";"23458030";"16.08.1999";"30.06.2029";"83206395";"1478"
"Doherty, Matt";"Irlande";"D RC";"Wolves";"52";"3";"63800";"7031040";"16.01.1992";"30.06.2026";"52032335";"740"
"Lewis-Skelly, Myles";"Angleterre / Barbade";"D L, DM";"Arsenal";"3";"1";"81200";"153742030";"26.09.2006";"30.06.2030";"2000283274";"602"
"Posch, Stefan";"Autriche";"D RC";"1. FSV Mainz 05";"44";"2";"34610";"11841790";"14.05.1997";"30.06.2027";"16147386";"918"
"Coleman, Seamus";"Irlande";"D/WB/M R";"Everton";"73";"1";"40600";"842010";"11.10.1988";"30.06.2026";"56001681";"650"
"Lemperle, Tim";"Allemagne";"AM R, ST";"TSG Hoffenheim";"0";"0";"38450";"17571470";"05.02.2002";"30.06.2029";"91190494";"879226"
"Baleba, Carlos";"Cameroun";"DM";"Brighton";"7";"0";"30160";"67117600";"03.01.2004";"30.06.2028";"2000166563";"618"
"Dzyuba, Artem";"Russie";"ST";"Akron";"56";"31";"12290";"282880";"22.08.1988";"10.06.2026";"8085570";"58145316"
"Clinton Mata";"Angola / Belgique / R.D. Congo";"D RC";"OL";"14";"0";"40100";"347999990";"07.11.1992";"30.06.2028";"18070768";"865"
"Nelson, Reiss";"Angleterre / Jamaïque";"AM RL";"Brentford";"0";"0";"104400";"27405000";"10.12.1999";"30.06.2027";"28107919";"617"
"Dolan, Tyrhys";"Angleterre";"AM RLC";"Espanyol";"0";"0";"20050";"30525510";"28.12.2001";"30.06.2028";"29218322";"1725"
"Steele, Jason";"Angleterre";"GK";"Brighton";"0";"0";"34800";"10317250";"18.08.1990";"30.06.2027";"5108155";"618"
"Urbig, Jonas";"Allemagne";"GK";"FC Bayern München";"0";"0";"76900";"28269930";"08.08.2003";"30.06.2029";"91207698";"915"
"Compagno, Andrea";"Italie";"ST";"Jeonbuk";"0";"0";"15250";"676730";"22.04.1996";"31.12.2027";"43108998";"130776"
"Osako, Yuya";"Japon";"AM/F C";"Kobe";"57";"24";"44560";"347999990";"18.05.1990";"30.06.2027";"45021707";"106844"
"Tenaglia, Nahuel";"Argentine / Italie";"D RC";"Alavés";"0";"0";"31220";"16578510";"21.02.1996";"30.06.2027";"14153906";"1688"
"Sliti, Naïm";"Tunisie / France";"AM RLC";"Al-Shamal";"79";"14";"16470";"347999990";"27.07.1992";"30.06.2027";"85059261";"135413"
"Batalla, Augusto";"Argentine";"GK";"Vallecano";"0";"0";"43730";"33660770";"30.04.1996";"30.06.2030";"14059327";"1729"
"Evander";"Brésil / États-Unis";"DM, AM C";"Cincinnati";"0";"0";"78220";"16976520";"09.06.1998";"31.12.2026";"19224729";"20041327"
"Kinský, Antonín";"Rép. tchèque";"GK";"Spurs";"0";"0";"63800";"23625330";"13.03.2003";"30.06.2031";"2000039995";"728"
"Bernard";"Brésil / Espagne";"AM RLC";"ATM";"14";"1";"21780";"347999990";"08.09.1992";"31.12.2027";"19152048";"314"
"Chiquinho";"Portugal";"DM, AM C";"Olympiacos";"0";"0";"28450";"20676150";"19.07.1995";"30.06.2029";"55082827";"981"
"Christie, Ryan";"Écosse";"DM, AM RC";"Bournemouth";"59";"7";"69600";"40663800";"22.02.1995";"30.06.2027";"61042900";"600"
"Acuña, Marcos";"Argentine";"D/WB L";"River Plate";"61";"0";"41170";"347999990";"28.10.1991";"31.12.2027";"14044037";"94"
"Sanches, Alvyn";"Suisse / Portugal / France";"AM RC";"Young Boys";"1";"0";"23540";"20782470";"12.02.2003";"30.06.2029";"2000023402";"1847"
"Nebel, Paul";"Allemagne / Irlande";"AM RLC";"1. FSV Mainz 05";"0";"0";"23070";"39998940";"10.10.2002";"30.06.2027";"91188358";"918"
"Stuani, Cristhian";"Uruguay / Italie";"ST";"Girona";"50";"8";"24060";"703740";"12.10.1986";"30.06.2026";"78000806";"814089"
"McNeil, Dwight";"Angleterre";"AM RL, ST";"Everton";"0";"0";"87000";"30276000";"22.11.1999";"30.06.2027";"28110488";"650"
"Sinisterra, Luis";"Colombie";"AM RL";"CEC";"18";"5";"75400";"40600000";"17.06.1999";"30.06.2028";"76047347";"321"
"Natan";"Brésil";"D C";"Real Hispalis";"0";"0";"50010";"35809580";"06.02.2001";"30.06.2030";"19351985";"1733"
"Radamel Falcao";"Colombie";"ST";"Millonarios";"104";"36";"16470";"347999990";"10.02.1986";"31.12.2026";"950975";"426"
"Martínez, Roger";"Colombie";"ST";"Al-Taawun";"28";"5";"23060";"16308710";"23.06.1994";"30.06.2026";"14083716";"7920352"
"Begraoui, Yanis";"Maroc / France";"AM R, ST";"Estoril Praia";"0";"0";"2710";"10024800";"04.07.2001";"30.06.2028";"49047810";"2390"
"Coppola, Diego";"Italie / Pays-Bas";"D C";"Paris FC";"2";"0";"29000";"35584930";"28.12.2003";"30.06.2030";"43500130";"867"
"Katic, Nikola";"Bosnie / Croatie";"D C";"FC Schalke 04";"9";"0";"9610";"2930840";"10.10.1996";"30.06.2028";"24047814";"920"
"Mário Rui";"Portugal";"D/WB/M L";"Forte Virtus";"12";"0";"25180";"678580";"27.05.1991";"30.06.2026";"55027761";"2000493101"
"Fouzair, Mohamed";"Maroc";"AM RC";"US Touarga";"0";"0";"17030";"347999990";"24.12.1991";"30.06.2027";"13199280";"8630098"
"Zanotti, Mattia";"Italie";"D/WB/M R";"Lugano";"0";"0";"4480";"7289850";"11.01.2003";"30.06.2028";"43500895";"1850"
"Guerrero, Paolo";"Pérou";"ST";"Alianza";"125";"40";"2390";"347999990";"01.01.1984";"31.12.2026";"5290748";"117754"
"Diomandé, Mohamed";"Côte d'Ivoire / Ghana";"AM LC";"Rangers";"8";"0";"13920";"16194910";"30.10.2001";"31.05.2028";"13183075";"1570"
"Asprilla, Yaser";"Colombie";"AM RLC";"Galatasaray";"11";"2";"20050";"87115500";"19.11.2003";"30.06.2030";"2000053239";"1871"
"Sayoud, Amir";"Algérie";"AM RC, F C";"Al HazmAl-Hazm";"4";"1";"67640";"347999990";"30.09.1990";"30.06.2027";"12029626";"7920356"
"Cavani, Edinson";"Uruguay / Italie";"ST";"Boca";"136";"58";"44470";"347999990";"14.02.1987";"31.12.2026";"78005742";"82"
"Jenz, Moritz";"Allemagne / Nigeria";"D C";"VfL Wolfsburg";"0";"0";"38450";"4060040";"30.04.1999";"30.06.2027";"29162924";"961"
"Martínez, Adrián";"Argentine";"ST";"Racing Club";"0";"0";"41170";"347999990";"07.07.1992";"31.12.2028";"14151971";"93"
"Ouattara, Dango";"Burkina Faso";"AM RL, ST";"Brentford";"29";"10";"87000";"61371730";"11.02.2002";"30.06.2030";"12091814";"617"
"Guaita, Vicente";"Espagne";"GK";"-";"0";"0";"0";"0";"10.01.1987";"-";"1510602";"-1"
"Meyer, Alexander";"Allemagne";"GK";"Borussia Dortmund";"0";"0";"28840";"1532870";"13.04.1991";"30.06.2027";"91018450";"907"
"Patterson, Anthony";"Angleterre";"GK";"Millwall";"0";"0";"33060";"7273200";"10.05.2000";"30.06.2028";"28110962";"686"
"Ciss, Pathé";"Sénégal";"DM";"Vallecano";"18";"0";"17300";"347999990";"16.03.1994";"30.06.2027";"13181623";"1729"
"Svensson, Daniel";"Suède";"D/WB L, M C";"Borussia Dortmund";"3";"0";"28840";"29800380";"12.02.2002";"30.09.2029";"93123163";"907"
"João Gomes";"Brésil";"DM";"Wolves";"8";"0";"87000";"41968800";"12.02.2001";"30.06.2030";"19371031";"740"
"Rodri";"Espagne";"AM RLC";"Al Arabi";"0";"0";"76900";"12993110";"16.02.2000";"30.06.2027";"67281485";"102859"
"Østigård, Leo";"Norvège";"D C";"Genoa";"31";"1";"26280";"10003940";"28.11.1999";"30.06.2029";"53122155";"1132"
"Dakonam, Djéné";"Togo / Bénin";"D C, DM";"Getafe";"83";"0";"41220";"8682710";"31.12.1991";"30.06.2026";"211232";"1710"
"Emerson";"Italie / Brésil";"D/WB L";"Olympique de Marseille";"29";"0";"26520";"10783420";"03.08.1994";"30.06.2027";"19158043";"866"
"Zetterer, Michael";"Allemagne";"GK";"Eintracht Frankfurt";"0";"0";"38450";"9973420";"12.07.1995";"30.06.2029";"92065694";"912"
"Hughes, Will";"Angleterre";"DM";"Crystal Palace";"0";"0";"69600";"21869190";"17.04.1995";"30.06.2027";"29086005";"642"
"Dibling, Tyler";"Angleterre";"AM RC";"Everton";"0";"0";"46400";"56608000";"17.02.2006";"30.06.2029";"2000198043";"650"
"Sarr, Pape Matar";"Sénégal";"DM, AM C";"Spurs";"31";"2";"76560";"55386130";"14.09.2002";"30.06.2030";"12080051";"728"
"Gray, Archie";"Angleterre / Écosse";"D R, DM";"Spurs";"0";"0";"87000";"56774270";"12.03.2006";"30.06.2030";"2000182795";"728"
"Watt, Elliot";"Écosse / Angleterre";"DM";"Motherwell";"0";"0";"2320";"3030500";"11.03.2000";"31.05.2027";"29175742";"1584"
"Affengruber, David";"Autriche";"D C";"Elche";"0";"0";"30770";"19262650";"19.03.2001";"30.06.2027";"16202375";"1707"
"Barco, Valentín";"Argentine / Italie";"D/WB L, DM, AM LC";"Strasbourg";"2";"0";"25480";"65682480";"23.07.2004";"30.06.2029";"2000033291";"872"
"Patric";"Espagne";"D C";"Celesti";"0";"0";"42800";"347999990";"17.04.1993";"30.06.2027";"67100019";"1140"
"Bellanova, Raoul";"Italie";"D/WB/M R";"Bergamo";"0";"0";"64200";"23446750";"17.05.2000";"30.06.2029";"43295110";"1106"
"Kastenmeier, Florian";"Allemagne";"GK";"Fortuna Düsseldorf";"0";"0";"11540";"2540060";"28.06.1997";"30.06.2026";"91149520";"921"
"Panichelli, Joaquín";"Argentine";"AM/F C";"Strasbourg";"0";"0";"23980";"32885330";"07.10.2002";"30.06.2030";"2000096364";"872"
"Bakambu, Cédric";"R.D. Congo / France";"ST";"Real Hispalis";"56";"16";"32500";"1129840";"11.04.1991";"30.06.2026";"34009930";"1733"
"Camello, Sergio";"Espagne";"ST";"Vallecano";"0";"0";"17300";"7565380";"10.02.2001";"30.06.2027";"67272502";"1729"
"Merentiel, Miguel";"Uruguay / Argentine";"ST";"Boca";"1";"0";"5760";"12543530";"24.02.1996";"31.12.2027";"78078460";"82"
"Chavarría, Pep";"Espagne";"D/WB/M L";"Vallecano";"0";"0";"12500";"35480270";"10.04.1998";"30.06.2030";"67277695";"1729"
"Arthur";"Brésil";"DM";"GRE";"22";"1";"111350";"7856940";"12.08.1996";"30.06.2027";"19259600";"324"
"Yarmoliuk, Yehor";"Ukraine";"DM, AM C";"Brentford";"2";"0";"52200";"55428660";"01.03.2004";"30.06.2031";"71110357";"617"
"Tello, Cristian";"Espagne";"AM RL";"Palm City";"1";"0";"24160";"1357470";"11.08.1991";"30.06.2026";"67046417";"2000521097"
"Mário, João";"Portugal";"D/WB RL, M R";"Bologna";"3";"0";"71330";"9987710";"03.01.2000";"30.06.2030";"83174775";"1111"
"Suazo, Gabriel";"Chili";"D/WB L";"Sevilla";"36";"0";"37980";"24563260";"09.08.1997";"30.06.2028";"75037990";"1759"
"Valle, Álex";"Espagne";"D/WB L";"Como";"0";"0";"10790";"53256740";"25.04.2004";"30.06.2029";"2000082098";"1123"
"Yazici, Yusuf";"Turquie";"AM RC, F C";"Olympiacos";"45";"3";"40310";"6090060";"29.01.1997";"30.06.2027";"70103149";"981"
"Rosario, Pablo";"Rép. Dominicaine / Pays-Bas";"D RC, DM";"FC Porto";"0";"0";"36590";"32189620";"07.01.1997";"30.06.2029";"37057370";"1478"
"Comuzzo, Pietro";"Italie";"D C";"Fiorentina";"0";"0";"35660";"39472640";"20.02.2005";"30.06.2028";"2000096278";"1129"
"Vandevoordt, Maarten";"Belgique";"GK";"RB Leipzig";"0";"0";"57680";"23979320";"26.02.2002";"30.06.2030";"18107187";"91013388"
"Willock, Joe";"Angleterre / Montserrat";"M C";"Newcastle";"0";"0";"92800";"7383400";"20.08.1999";"30.06.2027";"28106684";"688"
"Bellerín, Héctor";"Espagne";"D/WB R";"Real Hispalis";"4";"0";"45960";"29095280";"19.03.1995";"30.06.2028";"28066082";"1733"
"Hysaj, Elseid";"Albanie";"D/WB RL";"Celesti";"90";"2";"100050";"1344800";"02.02.1994";"30.06.2026";"43083951";"1140"
"Koga, Taiyo";"Japon";"D C";"Kashiwa";"2";"0";"45450";"1821590";"28.10.1998";"31.01.2026";"45102427";"1190"
"Austin, Brandon";"Angleterre / États-Unis / Îles Vierges US";"GK";"Spurs";"0";"0";"15080";"2966700";"08.01.1999";"30.06.2029";"28106884";"728"
"Martel, Eric";"Allemagne";"D C, DM";"1. FC Köln";"0";"0";"34610";"10024800";"29.04.2002";"30.06.2026";"91205203";"916"
"Majer, Lovro";"Croatie";"AM RC";"VfL Wolfsburg";"35";"8";"57680";"10420780";"17.01.1998";"30.06.2028";"24053458";"961"
"Romero, Lucas";"Argentine / Italie";"DM";"CEC";"0";"0";"14620";"347999990";"18.04.1994";"31.12.2027";"14047196";"321"
"Lewis-Potter, Keane";"Angleterre";"D/WB L, AM RL";"Brentford";"0";"0";"62640";"42340000";"22.02.2001";"30.06.2031";"28113414";"617"
"Duro, Hugo";"Espagne";"AM LC, F C";"Valencia";"0";"0";"80170";"33081840";"10.11.1999";"30.06.2028";"67274349";"1775"
"Romero, Isaac";"Espagne";"ST";"Sevilla";"0";"0";"39990";"30074400";"18.05.2000";"30.06.2028";"67295600";"1759"
"Cássio";"Brésil";"GK";"CEC";"1";"0";"25410";"347999990";"06.06.1987";"31.05.2027";"8833553";"321"
"Onana, André";"Cameroun";"GK";"Trabzonspor";"48";"0";"127600";"30928500";"02.04.1996";"30.06.2028";"67201634";"1879"
"Luís, Florentino";"Portugal / Angola";"DM";"Burnley";"0";"0";"24510";"40299690";"19.08.1999";"30.06.2027";"83169817";"622"
"Valencia, Enner";"Équateur";"ST";"Pachuca";"100";"47";"17380";"347999990";"04.11.1989";"31.12.2027";"86012153";"116204"
"Gonzalo";"Espagne";"AM RL, ST";"R. Madrid";"0";"0";"76900";"42705640";"24.03.2004";"30.06.2030";"2000143029";"1736"
"Herrera, Yangel";"Venezuela / Espagne";"DM";"Real San Sebastián";"43";"3";"53240";"40698930";"07.01.1998";"30.06.2030";"86047272";"1742"
"Kiliçsoy, Semih";"Turquie";"AM RL, ST";"Cagliari";"4";"0";"9640";"28053400";"15.08.2005";"30.06.2028";"2000154217";"1114"
"Kovár, Matej";"Rép. tchèque";"GK";"PSV";"3";"0";"15040";"5920900";"17.05.2000";"30.06.2030";"28118905";"1028"
"Terracciano, Pietro";"Italie";"GK";"Casciavit";"0";"0";"28530";"595540";"08.03.1990";"30.06.2026";"43017977";"1099"
"Tuta";"Brésil";"D RC, DM";"Al-Duhail";"0";"0";"96130";"29890300";"04.07.1999";"30.06.2030";"19290884";"23404990"
"Ndoye, Dan";"Suisse / Sénégal";"AM RL";"Nott'm Forest";"22";"3";"104400";"43030200";"25.10.2000";"30.06.2030";"84153276";"692"
"Almeida, André";"Portugal";"AM C";"Valencia";"0";"0";"23130";"28808770";"30.05.2000";"30.06.2029";"83152928";"1775"
"Zafeiris, Christos";"Grèce / Norvège";"DM, AM C";"PAOK";"9";"0";"35570";"41352300";"23.02.2003";"31.12.2029";"53180825";"982"
"Augello, Tommaso";"Italie";"D/WB/M L";"Palermo";"0";"0";"19030";"3744140";"30.08.1994";"30.06.2027";"43096264";"2194"
"Dahl, Samuel";"Suède";"D/WB/M L";"Benfica";"2";"0";"40760";"65161180";"04.03.2003";"30.06.2029";"93142472";"1487"
"Fischer, Kilian";"Allemagne";"D/WB RL";"VfL Wolfsburg";"0";"0";"16340";"3654040";"12.10.2000";"30.06.2027";"91207901";"961"
"Bentancur, Rodrigo";"Uruguay";"DM";"Spurs";"70";"3";"127600";"49590000";"25.06.1997";"30.06.2029";"14094572";"728"
"Ontiveros, Javi";"Espagne";"AM RLC";"Cádiz";"0";"0";"17110";"7294540";"09.09.1997";"30.06.2028";"67211745";"1682"
"Swedberg, Williot";"Suède";"AM RLC, F C";"Vigo";"1";"0";"37330";"77411490";"01.02.2004";"30.06.2029";"2000008568";"1724"
"Pieper, Amos";"Allemagne";"D C";"SV Werder Bremen";"0";"0";"34610";"6252460";"17.01.1998";"30.06.2029";"91173279";"948"
"Tenas, Arnau";"Espagne";"GK";"Villarreal";"0";"0";"46530";"31766080";"30.05.2001";"30.06.2029";"67265794";"1777"
"Kambwala, Willy";"France / R.D. Congo";"D C";"Villarreal";"0";"0";"25060";"83606820";"25.08.2004";"30.06.2029";"2000006158";"1777"
"Trauner, Gernot";"Autriche";"D C";"Feyenoord";"16";"2";"16820";"5885490";"25.03.1992";"30.06.2026";"16023929";"1013"
"Gomes, Angel";"Angleterre / Portugal / Angola";"DM, AM C";"Wolves";"4";"0";"31830";"11399700";"31.08.2000";"30.06.2028";"28109888";"740"
"Willyan Rocha";"Brésil / Italie";"D C";"Al-Jazira";"0";"0";"51910";"13590540";"27.01.1995";"30.06.2027";"19248746";"135450"
"Torres, Facundo";"Uruguay / États-Unis";"AM RLC";"Austin FC";"19";"1";"25760";"24316760";"13.04.2000";"30.06.2030";"78088646";"72053036"
"Barboza, Alexander";"Uruguay / Argentine";"D C";"BOT";"0";"0";"14920";"10504870";"16.03.1995";"31.12.2026";"14076367";"316"
"Prados, Beñat";"Espagne / Pays Basque";"D C, DM";"A. Bilbao";"0";"0";"3510";"74998030";"08.02.2001";"30.06.2031";"67277835";"1664"
"Barnes, Ashley";"Angleterre";"AM/F C";"Burnley";"0";"0";"23200";"79620";"30.10.1989";"30.06.2026";"28016057";"622"
"McBurnie, Oli";"Écosse / Angleterre";"ST";"Hull";"16";"0";"23200";"28135800";"04.06.1996";"30.06.2028";"29108066";"665"
"Mandas, Christos";"Grèce";"GK";"Bournemouth";"2";"0";"19860";"12445790";"17.09.2001";"30.06.2029";"36137769";"600"
"Møller Wolfe, David";"Norvège";"D/WB/M L";"Wolves";"12";"1";"58000";"31397330";"23.04.2002";"30.06.2030";"29240378";"740"
"Ogbu, Igoh";"Nigeria";"D C";"Slavia";"3";"0";"10250";"10749020";"08.02.2000";"31.12.2027";"53160749";"474"
"Marí, Pablo";"Espagne";"D C";"Al Hilal";"0";"0";"101200";"3433800";"31.08.1993";"30.06.2026";"67157583";"102852"
"Zesiger, Cédric";"Suisse";"D LC";"FC Augsburg";"6";"0";"28840";"6252460";"24.06.1998";"30.06.2029";"98035093";"2238"
"El Arabi, Youssef";"Maroc / France";"ST";"FC Nantes";"47";"16";"6780";"175930";"03.02.1987";"30.06.2026";"29023774";"846"
"Rodon, Joe";"Pays de Galles";"D C";"Leeds";"54";"1";"63800";"38471400";"22.10.1997";"30.06.2028";"28100477";"671"
"Matheus Henrique";"Brésil";"DM";"CEC";"1";"0";"13350";"10226520";"19.12.1997";"30.06.2029";"19263862";"321"
"Valdimarsson, Hákon Rafn";"Islande";"GK";"Brentford";"20";"0";"17400";"33253330";"13.10.2001";"30.06.2028";"39053746";"617"
"Gérson";"Brésil";"AM RC";"CEC";"14";"1";"24150";"16927330";"20.05.1997";"31.12.2029";"19217413";"321"
"Koopmeiners, Teun";"Pays-Bas";"DM, AM C";"Juventus";"25";"3";"111240";"19285210";"28.02.1998";"30.06.2029";"37057982";"1139"
"Cabella, Rémy";"France / Italie";"AM LC";"FC Nantes";"4";"0";"23710";"609010";"08.03.1990";"30.06.2027";"34008670";"846"
"Cristo";"Espagne";"AM LC, F C";"Umm-Salal";"0";"0";"41140";"9553760";"24.10.1997";"30.06.2028";"67211796";"1032763"
"Ajer, Kristoffer";"Norvège";"D RC";"Brentford";"43";"2";"63800";"38471400";"17.04.1998";"30.06.2030";"53110135";"617"
"Johnston, Alistair";"Canada / Irlande du Nord / États-Unis";"D/WB R";"Celtic";"56";"1";"19720";"16123530";"08.10.1998";"30.06.2029";"72056139";"1569"
"Senesi, Marcos";"Argentine / Italie";"D C";"Bournemouth";"1";"0";"69600";"38069460";"10.05.1997";"30.06.2026";"14080605";"600"
"Okafor, Noah";"Suisse / Nigeria";"AM RL, ST";"Leeds";"24";"2";"75400";"37120000";"24.05.2000";"30.06.2029";"98040226";"671"
"Rensch, Devyne";"Pays-Bas / Suriname";"D RLC";"AS Roma";"2";"0";"42800";"30074400";"18.01.2003";"30.06.2029";"37073313";"1100"
"Gómez, Gustavo";"Paraguay";"D C";"SEP";"81";"4";"43560";"347999990";"06.05.1993";"31.12.2027";"79010306";"329"
"Livakovic, Dominik";"Croatie";"GK";"Dinamo";"66";"0";"38560";"17931860";"09.01.1995";"30.06.2028";"24025298";"432"
"Gazzaniga, Paulo";"Argentine / Italie";"GK";"Girona";"1";"0";"35090";"347999990";"02.01.1992";"30.06.2027";"67136579";"814089"
"Balogun, Folarin";"États-Unis / Angleterre / Nigeria";"ST";"AS Monaco";"17";"5";"110850";"17476230";"03.07.2001";"30.06.2028";"28116305";"826"
"Batna, Mourad";"Maroc";"AM R";"Al-Fateh";"0";"0";"38450";"2004480";"27.06.1990";"30.06.2027";"13164760";"7920359"
"Faivre, Romain";"France";"AM RC";"Auxerre";"0";"0";"40600";"28710000";"14.07.1998";"30.06.2028";"49040542";"824"
"André";"Brésil";"DM";"Wolves";"12";"0";"75400";"60743400";"16.07.2001";"30.06.2029";"19375640";"740"
"Bah, Alexander";"Danemark / Gambie";"D/WB/M R";"Benfica";"20";"1";"31340";"25803830";"09.12.1997";"30.06.2029";"27129532";"1487"
"Sáiz, Samu";"Espagne";"AM RLC";"-";"0";"0";"0";"0";"22.01.1991";"-";"67080313";"-1"
"Janelt, Vitaly";"Allemagne";"DM";"Brentford";"0";"0";"63800";"38570000";"10.05.1998";"30.06.2030";"91143519";"617"
"Van Der Brempt, Ignace";"Belgique";"D/WB R";"Como";"0";"0";"8870";"13214390";"01.04.2002";"30.06.2028";"18110809";"1123"
"Córdova, Sebastián";"Mexique";"AM RLC";"Toluca";"18";"3";"14160";"7859140";"12.06.1997";"30.06.2029";"51060128";"102355"
"Reitz, Rocco";"Allemagne";"DM";"Borussia M'gladbach";"0";"0";"38450";"20519460";"29.05.2002";"30.06.2028";"91206105";"908"
"Noslin, Tijjani";"Pays-Bas";"AM RLC, F C";"Celesti";"0";"0";"46460";"347999990";"07.07.1999";"30.06.2029";"37071153";"1140"
"Romaña, Jhohan";"Colombie / États-Unis";"D C";"San Lorenzo";"0";"0";"6870";"9869960";"13.09.1998";"31.12.2026";"79033990";"96"
"Abqar, Abdelkabir";"Maroc";"D C";"Getafe";"3";"0";"34740";"23446750";"10.03.1999";"30.06.2028";"67257704";"1710"
"Murphy, Jacob";"Angleterre";"AM RL";"Newcastle";"0";"0";"58000";"20097000";"24.02.1995";"30.06.2027";"29079830";"688"
"Januzaj, Adnan";"Belgique / Albanie / Kosovo";"AM RL";"Sevilla";"15";"1";"60170";"3446340";"05.02.1995";"30.06.2026";"18054092";"1759"
"Fágner";"Brésil";"D/WB R";"CEC";"10";"0";"8260";"370500";"11.06.1989";"31.12.2026";"19023829";"321"
"Wesley";"Brésil";"D/WB RL, M R";"AS Roma";"2";"0";"71330";"82155230";"06.09.2003";"30.06.2030";"2000083915";"1100"
"Unai López";"Espagne / Pays Basque";"DM";"Vallecano";"0";"0";"17300";"22470840";"30.10.1995";"30.06.2026";"67145056";"1729"
"Brunstad Fet, Sondre";"Norvège";"DM, AM C";"Bodø/Glimt";"0";"0";"2660";"5692380";"17.01.1997";"30.06.2028";"53113893";"1293"
"Maripán, Guillermo";"Chili";"D C";"Torino";"56";"2";"60730";"5496170";"06.05.1994";"30.06.2026";"75030680";"1174"
"Rafael Elias";"Brésil";"ST";"Kyoto";"0";"0";"9130";"1790450";"12.04.1999";"31.01.2026";"19335633";"1192"
"Villalba, Lucas";"Argentine";"D LC";"CEC";"0";"0";"12710";"7679840";"19.08.1994";"31.12.2026";"14063401";"321"
"Diego Carlos";"Brésil";"D C";"Como";"0";"0";"84110";"14937940";"15.03.1993";"30.06.2028";"19188567";"1123"
"Glatzel, Robert";"Allemagne / Érythrée";"ST";"Hamburger SV";"0";"0";"34610";"1601770";"08.01.1994";"30.06.2027";"91124152";"947"
"Stanek, Jindrich";"Rép. tchèque";"GK";"Slavia";"13";"0";"2990";"5909470";"27.04.1996";"30.06.2027";"25038212";"474"
"Bragança, Daniel";"Portugal";"AM C";"Sporting CP";"0";"0";"19220";"17142410";"27.05.1999";"30.06.2027";"83111519";"1489"
"Guessand, Evann";"Côte d'Ivoire / France";"AM RLC, F C";"Crystal Palace";"10";"1";"60320";"44946130";"01.07.2001";"30.06.2030";"49041006";"642"
"Lepaul, Esteban";"France";"AM/F C";"Rennes";"0";"0";"36090";"26912570";"18.04.2000";"30.06.2029";"49041153";"884"
"Hübers, Timo";"Allemagne";"D C";"1. FC Köln";"0";"0";"34610";"3694640";"20.07.1996";"30.06.2026";"91153061";"916"
"Rivero, Octavio";"Uruguay / Espagne";"ST";"Univ. de Chile";"0";"0";"5860";"347999990";"24.01.1992";"31.12.2027";"78035045";"404"
"Lukébakio, Dodi";"Belgique / R.D. Congo";"AM RL, ST";"Benfica";"26";"2";"55370";"33833690";"24.09.1997";"30.06.2030";"18083611";"1487"
"Caio Henrique";"Brésil / Espagne";"D/WB/M L";"AS Monaco";"1";"0";"52050";"17819530";"31.07.1997";"30.06.2027";"19258927";"826"
"Rashica, Milot";"Kosovo / Albanie";"AM RLC";"Besiktas";"61";"12";"48200";"14435710";"28.06.1996";"30.06.2027";"11024791";"1866"
